"No.","Aspek","Pernyataan","STS (1)","TS (2)","CS (3)","S (4)","SS (5)"
"1","Kemudahan Penggunaan & Antarmuka","Tampilan antarmuka (layout) aplikasi BoardWise menarik dan mudah dipahami.","","","","",""
"","","Navigasi antar menu dan fitur dalam aplikasi terasa mudah dan intuitif.","","","","",""
"","","Bahasa yang digunakan pada instruksi, tombol, dan tooltip bantuan jelas dan tidak membingungkan.","","","","",""
"2","Fungsionalitas & Fitur","Fitur untuk merancang papan permainan (misalnya, mengatur jumlah petak, nama papan) berfungsi sesuai harapan.","","","","",""
"","","Editor petak (Tile Editor) sangat fleksibel untuk membuat berbagai jenis interaksi (Kuis, Info, Hadiah).","","","","",""
"","","Fitur unggah gambar pada kuis dan info sangat membantu dalam memperjelas konten pembelajaran.","","","","",""
"","","Fungsi ""Generate with AI"" (Buat dengan AI) untuk kuis efektif dalam membantu dan mempercepat pembuatan soal.","","","","",""
"","","Opsi kustomisasi aturan permainan (seperti sisi dadu, kondisi menang, mode hukuman) sudah memadai.","","","","",""
"3","Potensi Edukatif & Manfaat Pembelajaran","Aplikasi ini berpotensi tinggi untuk meningkatkan motivasi dan keterlibatan siswa dalam belajar.","","","","",""
"","","BoardWise dapat menjadi alat evaluasi formatif yang menyenangkan dan interaktif.","","","","",""
"","","Format permainan dapat mendorong kompetisi yang sehat di antara siswa.","","","","",""
"","","Aplikasi ini fleksibel untuk diadaptasi pada berbagai topik dan mata pelajaran.","","","","",""
"4","Aspek Teknis & Aksesibilitas","Aplikasi berjalan dengan lancar tanpa hambatan teknis (error/lag) yang berarti.","","","","",""
"","","Fitur untuk membuat tautan permainan (Shareable Link) mudah digunakan dan berfungsi dengan baik.","","","","",""
"","","Aplikasi dapat ditampilkan dan digunakan dengan baik pada perangkat mobile (ponsel/tablet).","","","","",""
"","","Opsi ""Mode Aman Epilepsi"" adalah fitur tambahan yang bermanfaat untuk aksesibilitas.","","","","",""
